marca,mencao,sentimento,data
Microsoft,"Grandes impérios: eu amo a coleção de jogos. Adorei quando corri Win2K ... com a expansão do Vista, a Cleópatra não funciona, nem mesmo em modos mais antigos disponíveis. Obrigado, não a Microsoft e você não queira apoiar o software mais antigo.",positivo,2025-05-25
Microsoft,"Ótimo conjunto: comprei este conjunto de mini-Torx para expandir a faixa das minhas chaves de fenda Torx existentes (a menor das quais era um T15). A maior chave de fenda neste conjunto é um T10 e cai para T5 (que é bastante pequeno). Sincei, usei essas chaves de fenda para reparar uma chave de sinal no meu Golf VW e desmontar meu Xbox 360 (mais de uma vez). Até agora, eles parecem estar se sustentando bem - sem arredondamento dos cantos observados. Especialmente como o fato de que a extremidade da chave de fenda que fica na palma gira livremente, para que seja muito fácil aplicar alguma pressão com a palma da mão e depois girar a chave de fenda com os dedos - um recurso muito bom. O caso é um pouco mais barato, mas o preço está certo, então eu não posso reclamar. Se você estiver procurando por um conjunto de mini-Torx, este funcionará bem.",positivo,2025-05-25
Microsoft,Bom: este é realmente um bom jogo para o Xbox. É o melhor jogo de ação/aventura este ano. Eu derrotei o Senhor dos Anéis: a comunhão do ringue apenas uma vez. Mas agora estou prestes a jogar pela segunda vez. Os gráficos são incríveis neste jogo. O enredo também é muito excelente. Eu acho que este jogo merece cinco estrelas.,positivo,2025-05-25
Microsoft,"Google ""Sears Garantia"" antes de comprar!: Antes de comprar qualquer coisa da Sears ou Kenmore, você pode querer ""Google"" alguns dos problemas que surgiram recentemente em questões de garantia. Mesmo que minha garantia tenha dito ""Sears o reparará gratuitamente"", eles insistiam que eu tivesse que pagasse um ""diagnóstico"" e o trabalho que seriam para substituir o topontrono defeituoso. frustrado. Toda pessoa da Sears com quem conversei cara a cara acordou que o microondas deveria ser reparado sem custo; Mas corporativo disse que não! Esta não foi minha primeira experiência na garantia de microondas da Sears. Nos anos 90, surgiu uma situação semelhante. Mas, a Sears reparou essa unidade sob garantia, não há problema (e é por isso que comprei Kenmore novamente). Mas as coisas mudaram! Isso não é o mesmo que foi que antes era. Comprador Cuidado!",neutro,2025-05-25
Microsoft,"Microsoft Windows Live One Care Antius: trabalho com computadores desde 1956. E instalo a maioria dos tipos de proramas anti -vírus nos últimos 15 anos. Depois de tentar instalar essa coisa após 3 horas, desisti. É o programa mais hostil que eu já vi. E o suporte on -line é terrível. Eu vou para a tendência do mico, o que eu deveria ter feito em primeiro lugar.BOB L. WILLIAMSON",positivo,2025-05-25
Microsoft,"Seu PS2 não quer uma porcaria que o cobre.: Não posso realmente enfatizar o quanto me arrependo de comprar este adesivo barato. Ele deixa resíduos pegajosos na superfície do seu PS2, não parece completo e, o pior de tudo, danifica o seu PS2! Esse lixo na verdade impede que o modelo Slim se abre porque é muito pesado para a primavera fraca. E finalizando, se você é tolo o suficiente para deixá -lo ligado, eventualmente permanecerá assim! Até examinei os jogos que joguei enquanto usava a pele e encontrei arranhões circulares neles. Felizmente, demorou apenas algumas semanas antes de eu arrancá -lo e jogá -lo fora, quando decidi que tentaria entrar em contato com as pessoas que fizeram o produto, mas sem surpresa, ninguém respondeu. Depois disso, meu PS2 Slim quase morreu até que eu o desmontei e fiz o meu melhor para rejuvenescê -lo. Por causa disso, meu console nem durou dois anos. Eu realmente odeio esse produto e espero que esta revisão o impeça de prejudicar seu PlayStation. Fique longe.",neutro,2025-05-25
Microsoft,"Não funciona em alguns PCs: comprei 2 deles e tentei fazê -los trabalhar em 3 PCs e laptops Winxp diferentes, até agora apenas um PC funciona com ele, mas só funcionará quando estiver instalado exatamente na mesma porta USB que não foi instalada. Outros 2 PCs não funcionariam com este dispositivo, acabamentos de instalação e o dispositivo mostra um status amarelo 'não pode iniciar' no gerenciador de dispositivos de hardware do Windows.",neutro,2025-05-25
Microsoft,"Remessa decepcionante: recebi o produto, mas sem a inserção para limpar as janelas, por isso não é muito útil. Eu nunca comprei um antes, mas isso é decepcionante-não faz nada. Tenho que entrar em contato com o atendimento ao cliente, eu acho. No geral, não está impressionado até agora.",negativo,2025-05-25
Microsoft,"Não é uma visão geral: Ackerman fornece uma visão geral completa do processo de aplicação do FBI e abrange todos os itens essenciais. Ele também considera técnico e apoia o empplyment. No entanto, as anotações e críticas do editor me levaram a acreditar que haveria muito mais profundidade, pelo menos nas seções relacionadas a testes e entrevistas. Em vez do tratamento de um livro de preparação de testes grave (para o SAT ou GRE), Ackerman faz pouco, mas pasta a superfície do processo de teste e entrevista. A maioria das informações deste livro pode ser obtida nas páginas da web do FBI no FBI.gov e por inferência geral ...",positivo,2025-05-25
Microsoft,"Cabo de dados: Nenhuma instalação especial necessária. Com este cabo, meu Sony Ericsson W3001 acabou de aparecer no meu sistema Windows XP como outra unidade. Funciona muito bem. Muito legal.",positivo,2025-05-25
Microsoft,"Não está reconfiando pelos dispositivos: comprei este item para me permitir conectar meu GPS Garmin ao meu notebook com um cabo de dados serial da Garmin. O cabo funciona bem com o meu computador de mesa que possui uma porta serial embutida. O driver de dispositivo USB para serial instala e o Windows recongreia que uma nova porta COM está instalada. No entanto, quando você anexa qualquer dispositivo à nova porta serial, ele não funciona. Eu tentei com meu Garmin e com um modem externo. Não escalei o site do fabricante (se houver um) para atualizações, KB, etc.",positivo,2025-05-25
Microsoft,"Um bom e velho clássico: essas músicas são realmente boas. Meus favoritos são Ruby terça -feira e, baby, eu preciso do seu amor. Eu ouvi isso cruzando a estrada com as janelas para baixo e traz de volta lembranças antigas. Vale a pena comprar, não espere uma jóia, mas espere algumas boas músicas clássicas.",positivo,2025-05-25
Microsoft,"Photoshop Elements 1: Eu aconselhei se você não estiver experimentado com o programa, você pode querer participar de uma aula ou comprar versões mais recentes deste produto Adobe. Ele não pede que você faça backup do seu arquivo orignal antes de editar. Eu recomendo fazer um backup do seu arquivo de fotos antes de fazer alterações na foto. Comprei este programa para executar no Windows XP e abaixo para minha própria avaliação.",positivo,2025-05-25
Microsoft,"Não é uma boa solução a longo prazo: a boa notícia: esta impressora funciona como uma impressora/scanner/fax de rede com seus computadores do Windows XP. Nesse ponto, é torrado. Lamento comprar esta impressora e nunca comprarei outro produto irmão.",neutro,2025-05-25
Microsoft,"Útil, mesmo que 8 MB seja lento ... mas 16 MB é melhor: Claro, a 8 MB, pode ser lento. No entanto, com 16 MB, não é lento. Em ambos os casos, ter o luxo de usar o Windows CE versus os outros programas proprietários vale muito a pena até um pouco devagar. Vou trocar um pouco de velocidade por muita funcionalidade. Vamos ser sinceros, lentamente está tendo que transportar todas essas informações no papel ou em um laptop. Tente abrir um laptop ou papéis de embaralhamento enquanto corre pelo aeroporto. Estive em muitos desses PDA e Nino será minha única escolha para mim e minha equipe.",neutro,2025-05-25
Microsoft,"Comicamente pequeno: eu pedi este mouse porque amo os outros ratos ópticos da Microsoft que tenho, que são sem fio. Em nenhum lugar da descrição do produto avisa os clientes de que esse mouse tem cerca de metade do tamanho de um mouse óptico normal do MS. Abri o mouse e nem se incomodei em usá -lo porque é tão absurdamente pequeno. Eu teria que segurar meus dedos em uma compreensão desajeitada de garras e contorcer meu polegar para poder usar os botões nessa coisa. A Amazon queria US $ 8,50 para devolvê -lo. Se você tiver um filho, esse mouse pode ser ótimo. Se você é um homem adulto, faça um favor a si mesmo e pule este.",positivo,2025-05-25
Microsoft,"Um bom produto foi ruim: eu era tolerante com os pop -ups desnecessários e ocasionais por cerca de um ano, mas depois atualizei para a versão mais recente ... para o meu arrependimento. Meu sistema Windows XP então diminuiu a velocidade da startup, quando o Webroot Spysweeper começou automaticamente com o Windows e realmente trancou por vários minutos toda vez que eu entrava no Win XP. Assim que desativei o Webroot Spysweeper de começar com o Windows, meu sistema retornou ao seu desempenho rápido usual após a inicialização. Lamentavelmente, terei que acabar com Webroot depois de usá -lo por vários anos e encontrar outro Spysweeper. Não posso recomendar tudo. Na verdade, uma estrela é demais.",positivo,2025-05-25
